Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 455900  Y 588600
X 455900  Y 597100
X 348300  Y 630878
X 265689  Y 541300
X 251910  Y 541300
X 132821  Y 599300
X 122978  Y 599300
X 120710  Y 686100
X 134489  Y 686100
X 346200  Y 673410
X 346200  Y 687189
X 348300  Y 640721
X 373878  Y 680400
X 376700  Y 647878
X 376700  Y 657721
X 383721  Y 680400
X 409800  Y 657721
X 409800  Y 647878
X 220900  Y 724610
X 220900  Y 738389
X 187300  Y 724610
X 187300  Y 738389

Drill: .045  Tool: 5  Feed: 139  Speed: 550
X 127900  Y 630000
X 127900  Y 640000
X 127900  Y 650000

Drill: .06299  Tool: 6  Feed: 89  Speed: 550
X 707900  Y 139500
X 707900  Y 169500
X 707900  Y 199500
X 707900  Y 229500
X 707900  Y 259500
X 707900  Y 289500
X 707900  Y 319500
X 707900  Y 349500
X 707900  Y 379500
X 707900  Y 409500
X 707900  Y 462100
X 707900  Y 492100
X 707900  Y 522100
X 707900  Y 552100
X 707900  Y 582100
X 707900  Y 612100
X 707900  Y 642100
X 707900  Y 672100
X 707900  Y 702100
X 707900  Y 732100

Drill: .1  Tool: 7  Feed: 69  Speed: 658
X 131177  Y 731400
X 142988  Y 713683
X 154800  Y 731400

End of Listing
